id,name,genre,subgenre,city,venue_id,venue_name,latitude,longitude,attraction_id,attraction_name,event_date,min_price,max_price,currency,url,fetched_at
LvZ18QrW2f6bjdOv1qvvK,Mushroomhead,Rock,Alternative Rock,Southampton,KovZ9177NC7,Southampton 1865,50.8989811,-1.4004633,K8vZ9171Dtf,Mushroomhead,2026-08-11,,,,https://www.universe.com/events/mushroomhead-tickets-6YJZF5?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QbE0K3GHFZZlQgkN,The Van Morrison Alumni Band,Rock,Pop,London,KovZ9177-WV,Emerald Theatre,51.5099107,-0.11828309,K8vZ917hY-V,Van Morrison Alumni Band,2026-08-11,,,,https://www.universe.com/events/the-van-morrison-alumni-band-tickets-C2MBLP?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QbM7Lt7T8YZwfGFR,Andrea von Kampen,Folk,Folk,Newcastle Upon Tyne,KovZ9177_5V,Cluny 2,54.974933,-1.59238,K8vZ917bmxV,Andrea Von Kampen,2026-08-11,,,,https://www.universe.com/events/andrea-von-kampen-tickets-TX3LQY?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QJIwOkCr2XkJciBw,Frank Sinatra & Friends,,,London,KovZpZAnvalA,"Boisdale, Canary Wharf",51.505252,-0.022271,K8vZ917q6B7,Stephen Triffitt,2026-08-11,,,,https://www.universe.com/events/frank-sinatra-friends-tickets-R7LWC3?ref=ticketmaster,2026-08-10T10:21:16
16dOZ_613G7mOzN,Tom Jones,Rock,Pop,Belfast,KovZ917A7e7,Custom House Square Belfast,54.60185975,-5.923208,K8vZ9171uxf,Tom Jones,2026-08-12,,,,https://www.ticketmaster.ie/tom-jones-belfast-12-08-2026/event/3800647292BA0E23,2026-08-10T10:21:16
LvZ18QNSTZ5sorFGV5_-a,Forgotten Sentiment,Metal,Metalcore,London,KovZpZAt6AEA,New Cross Inn,51.475524,-0.03838,K8vZ917OMLf,Forgotten Sentiment,2026-08-12,,,,https://www.universe.com/events/forgotten-sentiment-tickets-05SJX8?ref=ticketmaster,2026-08-10T10:21:16
1aUZkoJJ8bzZeC2,The Wombats,Rock,Alternative Rock,Glasgow,KovZ9177VAf,Kelvingrove Bandstand,55.872313,-4.283712,K8vZ917GeP0,The Wombats,2026-08-12,,,,https://www.ticketmaster.co.uk/the-wombats-glasgow-12-08-2026/event/36006466990638DE,2026-08-10T10:21:16
1adfZ_ep9O-ZdC21,Hollywood Vampires,Rock,Pop,London,KovZ9177PFf,The O2,51.501581,0.005519,K8vZ917fhkV,Hollywood Vampires,2026-08-12,,,,https://www.ticketmaster.co.uk/hollywood-vampires-london-12-08-2026/event/3500642597821DE9,2026-08-10T10:21:16
G5dzZ_AlGn0Qx,The Harry Styles Tribute Show starring Sean Mac,Other,Other,Newcastle Upon Tyne,KovZ9177FHV,O2 City Hall Newcastle,54.977346,-1.610213,K8vZ917L_Qf,The Harry Styles Tribute Show,2026-08-12,,,,https://www.ticketmaster.co.uk/the-harry-styles-tribute-show-starring-newcastle-upon-tyne-12-08-2026/event/3E00645ACCAA46A2,2026-08-10T10:21:16
LvZ18QxNAvqWP1YZv6Fvq,"Live Jazz from the Piano Bar at Red Room Studios, Soho",Jazz,Jazz,London,KovZpZAnankA,Piano Bar Soho,51.5111127,-0.1343758,K8vZ917qaWf,Piano Bar Soho,2026-08-12,,,,https://www.universe.com/events/live-jazz-from-the-piano-bar-at-red-room-studios-soho-tickets-ZD6FXL?ref=ticketmaster,2026-08-10T10:21:16
17GOv0G6CLQfYPb,Nao,R&B,Soul,London,KovZpZAleakA,Night Tales Loft,51.537504,-0.059033,K8vZ9173Vbf,Nao,2026-08-12,,,,https://www.ticketweb.uk/event/nao-night-tales-loft-tickets/14242954?REFERRAL_ID=tmfeed,2026-08-10T10:21:16
17GOv0G6Ch-o8lB,Tyler Halverson,Country,Country,Glasgow,KovZ9177wG7,McChuills,55.86034,-4.23981,,,2026-08-12,,,,https://www.ticketweb.uk/event/tyler-halverson-mcchuills-tickets/14239714?REFERRAL_ID=tmfeed,2026-08-10T10:21:16
17u8v0G6uMsxI7P,Belle Livingstone's 58th Street Country Club,Jazz,Jazz,London,KovZ9177-fV,Belle Livingstone's 58th Street Country Club,51.47289512,-0.06736413,K8vZ917riCf,Belle Livingstone's 58th Street Country Club,2026-08-12,,,,https://theatre.ticketmaster.co.uk/book/1HBYR-58th-street/#perf=1HBYR-13L&date=2026-08-12&time=7.00PM,2026-08-10T10:21:16
G5dzZ_7mZ2sza,Slaughter To Prevail,Metal,Nu-Metal,Bristol,KovZpZAnalJA,O2 Academy Bristol,51.454142,-2.600849,K8vZ917pvh7,Slaughter To Prevail,2026-08-12,,,,https://www.ticketmaster.co.uk/slaughter-to-prevail-bristol-12-08-2026/event/3E00644B803F1E09,2026-08-10T10:21:16
G5vHZ_AIbZDcP,Borderline,Rock,Alternative Rock,London,KovZ9177AWf,The Social,51.5173904,-0.1408344,K8vZ917qWHf,Borderline,2026-08-12,,,,https://www.ticketmaster.co.uk/borderline-london-12-08-2026/event/1F00645A1803BB65,2026-08-10T10:21:16
LvZ18QO6oYG1jKZZMdZMR,MAVIS STAPLES,R&B,R&B,London,KovZ9177ko0,Union Chapel,51.54378,-0.102362,K8vZ917GeTf,Mavis Staples,2026-08-12,,,,https://www.universe.com/events/mavis-staples-tickets-B0729K?ref=ticketmaster,2026-08-10T10:21:16
LvZ18QPHgUYvjo-lI1dQs,Craterspace: London’s Alternative Open Jam,,,London,KovZpZAtJleA,Up The Creek,51.481328,-0.01077,K8vZ917OQ0V,Craterspace: London’s Alternative Open Jam,2026-08-12,,,,https://www.universe.com/events/craterspace-london-s-alternative-open-jam-tickets-NW7065?ref=ticketmaster,2026-08-10T10:21:16
