venue_id,genre,acts,venue_name,city,latitude,longitude,fetched_at
KovZpZAnJ6nA,Alternative,3,"Chalk, Brighton",Brighton,50.820167,-0.138704,2026-08-06T17:36:43
KovZpZAnJ6nA,Dance/Electronic,3,"Chalk, Brighton",Brighton,50.820167,-0.138704,2026-08-06T17:36:43
KovZpZAnJ6nA,Pop,1,"Chalk, Brighton",Brighton,50.820167,-0.138704,2026-08-06T17:36:43
KovZpZAnJ6nA,R&B,2,"Chalk, Brighton",Brighton,50.820167,-0.138704,2026-08-06T17:36:43
KovZpZAnJ6nA,Reggae,3,"Chalk, Brighton",Brighton,50.820167,-0.138704,2026-08-06T17:36:43
KovZpZAnJ6nA,Rock,20,"Chalk, Brighton",Brighton,50.820167,-0.138704,2026-08-06T17:36:43
KovZpZAnJ7eA,Rock,1,Earlham Park,Norwich,52.6256681,1.2378515,2026-08-06T17:36:43
KovZpZAnJAnA,Folk,1,De La Warr Pavilion,Bexhill On Sea,50.837639,0.471641,2026-08-06T17:36:43
KovZpZAnJAnA,Pop,1,De La Warr Pavilion,Bexhill On Sea,50.837639,0.471641,2026-08-06T17:36:43
KovZpZAnJAnA,Rock,4,De La Warr Pavilion,Bexhill On Sea,50.837639,0.471641,2026-08-06T17:36:43
KovZpZAnJF6A,Classical,1,Guildford Cathedral,Guildford,51.241429,-0.590846,2026-08-06T17:36:43
KovZpZAnJFJA,Dance/Electronic,1,Wythenshawe Park,Manchester,53.40069,-2.272576,2026-08-06T17:36:43
KovZpZAnJFJA,Rock,4,Wythenshawe Park,Manchester,53.40069,-2.272576,2026-08-06T17:36:43
KovZpZAnJI6A,Dance/Electronic,1,The Jam House Birmingham,Birmingham,52.48509613,-1.904386,2026-08-06T17:36:43
KovZpZAnJI6A,Jazz,1,The Jam House Birmingham,Birmingham,52.48509613,-1.904386,2026-08-06T17:36:43
KovZpZAnJI6A,Latin,1,The Jam House Birmingham,Birmingham,52.48509613,-1.904386,2026-08-06T17:36:43
KovZpZAnJI6A,Pop,3,The Jam House Birmingham,Birmingham,52.48509613,-1.904386,2026-08-06T17:36:43
KovZpZAnJI6A,R&B,2,The Jam House Birmingham,Birmingham,52.48509613,-1.904386,2026-08-06T17:36:43
KovZpZAnJI6A,Reggae,3,The Jam House Birmingham,Birmingham,52.48509613,-1.904386,2026-08-06T17:36:43
KovZpZAnJI6A,Rock,2,The Jam House Birmingham,Birmingham,52.48509613,-1.904386,2026-08-06T17:36:43
KovZpZAnJIAA,Rock,1,Satans Hollow,Manchester,53.47693371,-2.23913443,2026-08-06T17:36:43
KovZpZAnJJIA,Rock,1,City Varieties Music Hall,Leeds,53.798931,-1.542859,2026-08-06T17:36:43
KovZpZAnJadA,Alternative,1,Exchange Bristol,Bristol,51.455601,-2.582491,2026-08-06T17:36:43
KovZpZAnJadA,Country,1,Exchange Bristol,Bristol,51.455601,-2.582491,2026-08-06T17:36:43
KovZpZAnJadA,Folk,1,Exchange Bristol,Bristol,51.455601,-2.582491,2026-08-06T17:36:43
KovZpZAnJadA,Pop,4,Exchange Bristol,Bristol,51.455601,-2.582491,2026-08-06T17:36:43
